日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA5,MA20,MA60,RSI14,DIF,DEA,MACD
2024-05-22,600519,1568.66,1563.37,1575.62,1556.66,20286,3443977767.0,1.21,-0.46,-7.29,0.16,1571.902,1580.6975,1565.0628333333334,48.13120209162749,3.481565396179576,7.305489548711018,-7.647848305062883
2024-05-23,600519,1565.66,1557.67,1572.04,1555.74,18885,3199923320.0,1.04,-0.36,-5.7,0.15,1569.404,1581.5449999999998,1564.6233333333332,46.245447713740674,1.7449273230954532,6.193377103587905,-8.896899560984904
2024-05-24,600519,1558.66,1542.74,1560.66,1542.66,20217,3401323915.0,1.16,-0.96,-14.93,0.16,1561.8200000000002,1580.785,1564.0065,18.68595539481626,-0.8265689144841417,4.789387899973496,-11.231913628915276
2024-05-27,600519,1543.66,1535.78,1553.11,1533.67,25098,4199001866.0,1.26,-0.45,-6.96,0.2,1554.044,1579.611,1563.5921666666666,11.549122266707727,-3.3870680303716654,3.154096713904464,-13.082329488552258
2024-05-28,600519,1536.06,1530.3,1540.83,1528.66,23521,3923020375.0,0.79,-0.36,-5.48,0.19,1545.972,1578.191,1563.1778333333334,11.598237067965655,-5.791709012558385,1.364935568611894,-14.31328916234056
2024-05-29,600519,1531.66,1539.66,1545.66,1530.66,19651,3289173345.0,0.98,0.61,9.36,0.16,1541.23,1576.4195000000002,1563.0520000000001,18.63525091799272,-6.863017941479029,-0.28065513340629056,-13.164725616145477
2024-05-30,600519,1540.66,1514.66,1541.04,1514.66,32208,5333306808.0,1.71,-1.62,-25.0,0.26,1532.628,1573.6695000000002,1562.2853333333333,17.563085796683552,-9.61845350753947,-2.1482148082329267,-14.940477398613087
2024-05-31,600519,1516.16,1514.11,1529.16,1514.11,21857,3617654788.0,0.99,-0.04,-0.55,0.17,1526.902,1570.842,1561.6751666666667,22.92274395407925,-11.711533184566406,-4.060878483499623,-15.301309402133565
2024-06-03,600519,1515.66,1505.05,1516.58,1500.77,30261,4966041477.0,1.04,-0.6,-9.06,0.24,1520.756,1564.8015,1561.0600000000002,21.88482616117153,-13.940680701501378,-6.036838927099975,-15.807683548802807
2024-06-04,600519,1506.16,1518.86,1521.66,1502.21,20841,3432497303.0,1.29,0.92,13.81,0.17,1518.468,1558.9615,1560.3616666666667,30.997238915056016,-14.426643221020186,-7.714799785884018,-13.423686870272336
2024-06-05,600519,1517.66,1509.66,1524.34,1508.69,19056,3140824328.0,1.03,-0.61,-9.2,0.15,1512.468,1552.9630000000002,1559.7525,26.33760951188988,-15.376880030090206,-9.247215834725257,-12.259328390729898
2024-06-06,600519,1509.32,1505.47,1517.65,1501.57,25610,4205700983.0,1.07,-0.28,-4.19,0.2,1510.63,1547.1535,1559.0221666666666,19.06525137826054,-16.28037747275107,-10.65384816233042,-11.253058620841301
2024-06-07,600519,1511.79,1484.84,1511.84,1484.67,33525,5453120695.0,1.8,-1.37,-20.63,0.27,1504.7759999999998,1541.1635,1558.1513333333335,17.01674500587545,-18.44841247799536,-12.212761025463408,-12.471302905063908
2024-06-11,600519,1468.65,1434.66,1470.66,1432.66,70247,11090577610.0,2.56,-3.38,-50.18,0.56,1490.698,1534.3135,1556.0598333333335,12.707030821542205,-23.939740046457246,-14.558156829662176,-18.76316643359014
2024-06-12,600519,1435.66,1437.34,1455.66,1435.66,33171,5230086503.0,1.39,0.19,2.68,0.26,1474.3939999999998,1527.7985,1553.1711666666667,14.54453384347039,-27.75545549130402,-17.197616561990547,-21.115677858626945
2024-06-13,600519,1442.43,1420.67,1442.55,1418.81,36186,5654938942.0,1.65,-1.16,-16.67,0.29,1456.596,1520.5490000000002,1550.2971666666667,13.698993110757783,-31.758475221696244,-20.109788293931686,-23.297373855529116
2024-06-14,600519,1420.66,1420.66,1429.62,1386.12,59514,9177637168.0,3.06,0.0,-0.01,0.47,1439.634,1513.074,1547.6033333333332,14.875129474047625,-34.533622016485424,-22.994555038442435,-23.078133956085978
2024-06-17,600519,1397.95,1407.16,1414.43,1376.67,48318,7400883243.0,2.66,-0.95,-13.5,0.38,1424.098,1504.399,1544.6701666666668,14.335625554569617,-37.39125985267083,-25.873896001288117,-23.034727702765423
2024-06-18,600519,1396.55,1387.16,1420.2,1382.34,41258,6317590943.0,2.69,-1.42,-20.0,0.33,1414.598,1495.024,1541.5575,13.267296243071215,-40.79948026731563,-28.85901285449362,-23.88093482564402
2024-06-19,600519,1394.53,1397.54,1400.54,1378.64,41262,6167728416.0,1.58,0.75,10.38,0.33,1406.638,1486.368,1538.6218333333334,13.718982947002829,-42.17675289682575,-31.52256086296005,-21.308384067731396
2024-06-20,600519,1396.54,1396.64,1412.55,1394.54,24711,3715924984.0,1.29,-0.06,-0.9,0.2,1401.832,1478.0315,1535.6448333333333,15.643921751280729,-42.84696076442697,-33.787440843253435,-18.119039842347064
2024-06-21,600519,1397.04,1367.54,1401.52,1366.76,43320,6418543742.0,2.49,-2.08,-29.1,0.34,1391.208,1468.525,1532.1928333333333,13.414207977634547,-45.20513546679922,-36.0709797679626,-18.268311397673244
2024-06-24,600519,1319.54,1373.09,1385.53,1310.55,63840,9319362390.0,5.48,0.41,5.55,0.51,1384.394,1460.0425,1528.9608333333335,16.473577235772225,-46.09481495764021,-38.07574680589812,-16.03813630348418
2024-06-25,600519,1373.54,1383.19,1399.53,1373.54,42098,6273919386.0,1.89,0.74,10.1,0.34,1383.6,1452.413,1526.1028333333334,14.868714071158465,-45.4608622515168,-39.55276989502186,-11.81618471298988
2024-06-26,600519,1376.54,1385.76,1397.61,1374.34,29570,4414601922.0,1.68,0.19,2.57,0.24,1381.2440000000001,1445.186,1522.9496666666669,16.775715971253803,-44.2410889090952,-40.49043369783653,-7.501310422517335
2024-06-27,600519,1388.54,1387.03,1390.51,1364.54,32822,4857959457.0,1.87,0.09,1.27,0.26,1379.322,1437.5545,1519.9558333333334,17.734553775743606,-42.67994353928793,-40.92833566612681,-3.5032157463222404
2024-06-28,600519,1376.54,1363.93,1391.03,1360.54,38582,5699649047.0,2.2,-1.67,-23.1,0.31,1378.6,1430.018,1516.5663333333332,17.499059190366026,-42.81317786733871,-41.3053041063692,-3.0157475219390193
2024-07-01,600519,1365.42,1336.92,1369.53,1324.54,32161,4636689118.0,3.3,-1.98,-27.01,0.26,1371.366,1421.1585,1512.7056666666665,19.988946204863566,-44.58430814866233,-41.96110491482783,-5.246406467669004
2024-07-02,600519,1329.54,1387.24,1394.54,1329.54,51853,7659166816.0,4.86,3.76,50.32,0.41,1372.176,1415.268,1509.3764999999999,38.09863169897377,-41.44973149558382,-41.85883023097903,0.8181974707904232
2024-07-03,600519,1395.54,1396.54,1409.55,1384.56,31573,4740808130.0,1.8,0.67,9.3,0.25,1374.3319999999999,1409.152,1506.3246666666669,44.05986903648266,-37.779624642082354,-41.0429891131997,6.526728942234698
2024-07-04,600519,1401.54,1382.28,1408.54,1377.67,24380,3637968895.0,2.21,-1.02,-14.26,0.19,1373.382,1402.783,1503.0165000000002,41.17132867132863,-35.61119762418707,-39.956630815397176,8.69086638242021
2024-07-05,600519,1375.54,1349.54,1389.72,1346.54,38829,5664477336.0,3.12,-2.37,-32.74,0.31,1370.5040000000001,1394.9865,1499.9701666666667,37.82333051563817,-36.11819984521867,-39.18894462136147,6.141489552285606
2024-07-08,600519,1339.54,1316.54,1354.31,1315.68,39527,5657951348.0,2.86,-2.45,-33.0,0.31,1366.4279999999999,1386.5715,1496.4478333333334,35.853365384615344,-38.73629902300445,-39.09841550169007,0.7242329573712425
2024-07-09,600519,1316.54,1334.57,1351.43,1306.64,33621,4807957927.0,3.4,1.37,18.03,0.27,1355.894,1381.567,1493.4633333333334,37.760932944606395,-38.90778642414125,-39.06028968618031,0.3050065240781237
2024-07-10,600519,1335.79,1334.13,1362.42,1331.54,23763,3436693365.0,2.31,-0.03,-0.44,0.19,1343.412,1376.4065,1490.4711666666667,37.82857587912301,-38.6338487877199,-38.975001506488226,0.6823054375366553
2024-07-11,600519,1346.51,1358.63,1365.54,1336.75,29020,4236960596.0,2.16,1.84,24.5,0.23,1338.6820000000002,1373.3045,1488.1201666666666,48.23347476109286,-36.02453754792873,-38.38490871477633,4.720742333695199
2024-07-12,600519,1369.55,1375.36,1382.94,1361.99,23386,3451132648.0,1.54,1.23,16.73,0.19,1343.846,1371.0395,1485.3988333333332,50.43095265216237,-32.23508244498203,-37.15494346081747,9.839722031670888
2024-07-15,600519,1366.54,1371.44,1384.54,1366.54,19176,2835374730.0,1.31,-0.29,-3.92,0.15,1354.8260000000002,1369.2535,1482.661833333333,47.71569656674053,-29.211491325066618,-35.5662530336673,12.709523417201368
